case	impl	median_ms	status
head	fr	10.733	PASS
head	std	9.530	PASS
head	cli	28.520	PASS
head	py	47.066	PASS
tail	fr	9.830	PASS
tail	std	263.837	PASS
tail	cli	31.282	PASS
tail	py	247.373	PASS
line	fr	80.347	PASS
line	std	59.887	PASS
line	cli	265.505	PASS
line	py	113.158	PASS
range	fr	79.276	PASS
range	std	48.192	PASS
range	cli	263.041	PASS
range	py	123.060	PASS
sample	fr	12.660	PASS
sample	std	240.737	PASS
sample	cli	1872.569	PASS
sample	py	262.160	PASS
reverse_line	fr	41.044	PASS
reverse_line	std	266.775	PASS
reverse_line	cli	427.512	PASS
reverse_line	py	256.921	PASS
count	fr	143.808	PASS
count	std	83.605	PASS
count	cli	77.718	PASS
count	py	163.699	PASS
parse	fr	815.499	PASS
parse	std	751.937	PASS
parse	cli	0.000	N/A
parse	py	1648.783	PASS
filter	fr	784.799	PASS
filter	std	715.295	PASS
filter	cli	3264.375	PASS
filter	py	1635.702	PASS
aggregate	fr	746.977	PASS
aggregate	std	710.178	PASS
aggregate	cli	3515.027	PASS
aggregate	py	1549.829	PASS
